Year,TrackMarker,X,Y,Number,Letter,Angle,Distance
2018,Corners,432.5066528320313,3567.84912109375,1,,59.01921173970659,427.1124030253261
2018,Corners,-158.56326293945312,3644.214111328125,2,,-113.32500685958706,504.0793706041123
2018,Corners,-886.8078002929688,4127.07666015625,3,,120.9316017481458,582.3887156167773
2018,Corners,-1085.952392578125,3089.476806640625,4,,-175.6376695355284,736.5791959612858
2018,Corners,-562.119873046875,325.75439453125,5,,-54.26416676559614,1009.6228663252348
2018,Corners,-5310.61962890625,517.8907470703125,6,,-108.68102998117024,1472.127009032468
2018,Corners,-8287.0322265625,2196.8154296875,7,,88.3172391589591,1828.6986966013949
2018,Corners,-9517.107421875,485.0157775878906,8,,94.4327118521958,2015.475366867555
2018,Corners,-10948.638671875,1708.481689453125,9,,98.34700640113064,2220.717115252859
2018,Corners,-13236.0732421875,-1882.8096923828125,10,,176.30877606776173,2650.0111580906205
2018,Corners,-12263.3623046875,-2818.82958984375,11,,50.77135768564244,2782.1779158089403
2018,Corners,-12136.92578125,-3601.125,12,,-156.74618125380923,2917.352663593437
2018,Corners,-10760.1103515625,-4945.19287109375,13,,-79.79085895698665,3038.336294006076
2018,Corners,-9401.7421875,111.70972442626952,14,,-54.94238892515303,3563.394250721066
2018,Corners,-7330.4462890625,-1331.593505859375,15,,-111.8794660121706,3868.976985275234
2018,Corners,-6383.16796875,-1511.12158203125,16,,43.38343777770292,3923.8833236596006
2018,Corners,-6205.32666015625,-2313.67333984375,17,,-135.03695384562002,4056.020302555876
2018,Corners,-4107.8115234375,-2508.521728515625,18,,-47.518273240576605,4223.272563997447
2018,Corners,-3841.136474609375,-1671.2635498046875,19,,126.46894877529128,4356.391859584007
2018,Corners,-2483.682373046875,-1749.171142578125,20,,51.28198873829245,4446.816915495916
