EventName,TrackMarker,X,Y,Number,Letter,Angle,Distance
Bahrain Grand Prix,Corners,42.40593929993702,8329.202564224179,1,,-246.6153111460628,710.617854090195
Bahrain Grand Prix,Corners,820.7816212551479,7879.043840540197,2,,-101.17746928558444,810.1057641561069
Bahrain Grand Prix,Corners,1912.969997301606,8065.44216673751,3,,-261.39456176357044,919.675665331109
Bahrain Grand Prix,Corners,7487.745292571566,6790.71071569364,4,,-349.5990658655476,1498.1727664196678
Bahrain Grand Prix,Corners,5820.228442599813,4860.740936217904,5,,-211.50159707799352,1766.1515777233733
Bahrain Grand Prix,Corners,5180.404120509692,4214.598861214608,6,,-76.37444237537011,1832.2326581252244
Bahrain Grand Prix,Corners,4276.202937249183,4156.240630824386,7,,-258.95337199513926,1965.7085128056565
Bahrain Grand Prix,Corners,2490.099010685538,2458.600396529004,8,,-114.65430945303928,2210.050900947368
Bahrain Grand Prix,Corners,2711.1552878922835,5950.242339493996,9,,-344.9079556297229,2572.8829304684195
Bahrain Grand Prix,Corners,2100.132715648695,6613.999850943207,10,,-270.0220000651102,2663.189985160832
Bahrain Grand Prix,Corners,2120.985220517636,-663.9950720811103,11,,-100.99967138579512,3450.1521918042044
Bahrain Grand Prix,Corners,4981.251161545602,1603.7476220625608,12,,-272.81282353019,3849.391053366119
Bahrain Grand Prix,Corners,6665.934072283377,449.2756371061455,13,,-358.727848261899,4059.1061107171618
Bahrain Grand Prix,Corners,-145.4124578081196,-3472.8085483980503,14,,-110.52153187970453,4868.649368897963
Bahrain Grand Prix,Corners,-552.8126057447134,-2803.66625094119,15,,-169.0619991685993,4951.681791589614
Bahrain Grand Prix,Marshal Lights,-403.0300099850047,819.261164974045,1,,-182.6367112829576,5304.68520727619
Bahrain Grand Prix,Marshal Lights,-170.99778031790402,6888.075335027975,2,,-181.62051591776688,542.5792317361067
Bahrain Grand Prix,Marshal Lights,2091.793057829815,8069.873587855994,3,,-92.04195818622748,919.675665331109
Bahrain Grand Prix,Marshal Lights,6028.332907666913,7353.740539870238,4,,-280.46599516994286,1338.8796142015117
Bahrain Grand Prix,Marshal Lights,6384.228519856786,5548.195860866325,5,,-229.1718046474724,1685.2259329041676
